,ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,AIF1,AKR1C1,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AR,AVPR1A,BACE2,BASP1,BTNL9,C1QA,C1QC,C2orf42,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CD14,CD163,CD247,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CENPF,CLDN4,CLEC14A,CRISPLD2,CTLA4,CTTN,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FSTL3,GATA3,GJB2,GLIPR1,GPR183,GZMA,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KLF5,KLRB1,KRT15,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LUM,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP2,MMRN2,MNDA,MRC1,MYLK,MYO5B,MZB1,NARS,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCF4,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TMEM147,TOMM7,TOP2A,TPD52,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
cell_898,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,0,0,1,0,2,1,0,1,0,0,1,3,0,0,5,0,1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,1,3,0,1,0,0,0,0,2,5,15,16,0,0,0,2,1,4,1,3,0,0,0,2,6,0,10,0,1,0,0,0,1,4,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,1,30,10,0,1,0,1,0,0,0,7,0,2,0,2,0,0,4,2,2,0,0,0,0,2,0,2,0,0,1,0,6,0,1,0,0,0,0,0,0,5,1,0,1,0,1,0,0,4,0,0,0,2,0,0,0,3,0,9,0,1,2,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6,0,3,2,2,0,1,0,7,0,3,0,0,1,0,0,0,1,1,0,0,1,0,0,2
cell_899,0,0,0,0,0,0,0,0,1,0,0,0,10,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,7,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,9,0,1,0,2,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,3,13,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,6,3,1,0,0
cell_900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,4,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,1,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0
cell_901,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,1,9,0,4,0,0,0,0,0,2,2,2,3,0,0,0,0,1,0,0,3,0,0,1,3,0,2,0,0,1,0,0,0,4,0,0,1,0,0,2,2,0,1,1,0,6,0,0,0,0,0,0,6,3,0,1,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,3,0,0,5,0,0,1,1,0,0,0,0,1,0,2,1,0,10,4,0,0,0,2,0,1,2,6,0,0,1,2,0,0,1,1,0,0,1,0,0,9,0,1,1,1,3,0,9,0,0,0,2,3,0,0,0,2,0,2,0,2,2
cell_902,0,5,3,0,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,11,1,0,1,0,0,2,0,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,11,1,0,0,1,0,1,0,0,1,0,0,1,4,0,4,2,1,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,14,2,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,1,0,0,1,2,1,0,2,0,0,3,0,6,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,5,0,1,1,0,0,3,1,0,0,1,1,1,1,0,0,1
cell_903,1,11,0,2,0,2,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,3,0,1,8,0,0,8,1,0,0,0,0,3,0,1,0,1,1,1,0,0,7,0,0,0,0,1,0,0,0,1,6,7,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,0,0,1,0,3,0,6,3,0,0,6,1,0,2,7,1,2,0,0,0,0,0,2,0,0,5,0,0,0,3,2,0,1,0,0,1,0,0,0,2,0,0,2,3,0,0,2,0,22,0,2,0,2,0,0,2,0,6,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0,3,0,0,0,2,18,4,0,1,1,4,0,2,0,0,0,1,0,0,1,0,1,9,0,2,3,1,1,0,3,0,0,2,0,0,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,1,12,5,0,1,2,3,0,1,0,0,0,1,0,0,2,4,1
cell_904,4,4,2,0,0,1,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3,8,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,4,10,16,0,0,0,1,0,4,1,2,1,0,0,0,5,0,4,5,1,0,0,0,1,2,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,1,1,0,1,2,14,2,4,0,6,0,1,0,0,7,0,0,0,0,2,0,3,0,1,0,0,0,0,2,0,1,1,1,0,0,4,25,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,2,2,2,4,1,0,0,2,6,1,2,0,2,0,5,1,0,1,2,0,1,1,5,1,0
cell_905,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,3,2,0,2,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,11,4,0,0,0,0,2,1,0,0,0,0,1,6,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,2,0,0,9,3,0,0,1,0,1,0,1,6,0,1,0,0,0,0,3,0,0,0,1,1,0,0,2,1,0,1,0,0,8,2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,3,4,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,2,0,0,1,1,0,3,0,1,0,1,0,0,0,0,3,0,0,0,0,1
cell_906,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,4,0,4,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,7,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,8,0,0,0,0
cell_907,16,2,1,3,0,1,0,0,0,0,26,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,3,3,2,15,28,0,0,0,3,0,12,0,0,4,0,0,1,25,1,14,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,21,6,0,1,0,0,0,0,0,0,3,0,0,6,0,0,10,0,0,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,0,1,0,0,0,1,0,3,2,6,0,20,0,2,1,0,3,0,0,0,1,0,0,0,2,0,4,0,0,0,1,1,3,9,0,8,2,3,0,3,2,7,0,4,0,4,1,0,0,0,0,1,1,0,2,0,0,1
cell_908,0,2,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,7,0,0,0,0,4,1,0,1,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,5,8,0,0,0,0,0,6,0,0,1,0,0,2,8,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,9,11,0,0,0,0,0,0,1,4,0,0,0,1,0,0,5,0,1,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,1,0,12,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,4,0,2,1,0,1,3,3,0,0,1,1,2,0,0,0,3,0,0,0,0,0,1
cell_909,0,0,1,0,0,0,0,1,0,0,3,0,2,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,2,6,19,0,0,0,1,0,4,0,0,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,1,0,3,0,0,3,0,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,3,5,4,1,0,0,1,0,1,1,0,3,1,0,0,0,1,2
cell_910,1,1,2,3,0,0,0,0,1,0,9,0,0,0,1,0,1,2,0,0,1,0,0,0,0,8,0,0,0,12,0,1,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,10,0,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,9,19,19,0,0,0,1,0,3,0,0,0,0,0,2,8,0,7,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,12,6,0,1,0,0,0,0,0,2,1,0,0,4,0,0,10,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,8,0,3,2,0,1,0,0,0,2,0,0,0,5,0,3,0,0,2,1,0,2,8,0,1,4,0,0,0,3,12,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1
cell_911,2,0,1,2,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,29,0,0,0,1,0,4,0,0,0,0,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,1,26,1,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,12,1,7,0,0,0,0,0,2,0,3,0,3,1,0,0,0,0,1,2,0,1,0,0,0
cell_912,3,0,2,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,14,23,0,0,0,0,0,7,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,6,0,0,0,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,1,0,1,2,0,0,0,0,0,0,4,3,1,1,0,1,0,0,2,0,0,1,3,0,0,0,0,1
cell_913,2,5,4,1,0,1,0,0,1,0,10,1,0,0,2,0,1,6,0,0,0,2,2,0,0,7,1,0,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,3,0,0,0,14,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,4,16,30,0,0,0,1,0,6,0,0,0,0,0,2,22,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,0,0,21,14,0,3,1,0,0,1,0,4,2,0,0,9,0,0,11,0,1,0,0,0,0,5,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,3,1,1,0,0,1,0,0,1,2,1,11,0,2,1,0,8,0,0,0,2,0,0,0,0,1,0,0,0,1,2,1,1,4,1,14,2,0,0,0,2,8,0,2,0,4,2,1,0,0,0,2,3,1,1,0,0,0
cell_914,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,4,10,19,1,0,0,2,0,7,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,23,7,0,1,0,0,0,0,0,0,3,2,1,4,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,0,2,2,0,2,0,1,0,2,0,0,0,0,0,2,0,0,1,0,2,0,6,0,0,2,2,0,0,2,7,3,6,0,1,2,0,0,0,0,1,3,0,2,1,2,0
cell_915,5,3,1,4,0,0,0,1,0,0,14,0,0,0,3,0,1,2,0,0,0,0,2,0,0,9,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,1,2,0,0,0,6,0,0,0,0,2,0,2,0,1,3,6,0,0,0,0,0,1,1,5,23,44,0,0,1,1,0,8,1,0,0,0,0,1,16,2,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,0,3,0,1,0,0,0,0,3,1,0,6,0,1,9,0,0,0,0,0,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,10,2,3,4,0,4,0,0,0,2,0,0,0,1,0,7,0,0,0,0,1,0,6,0,2,2,0,0,1,4,11,2,4,0,7,3,0,2,0,0,1,3,0,1,0,0,0
cell_916,2,1,6,1,0,0,0,0,1,0,14,0,0,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,7,0,3,3,0,1,0,8,0,0,0,0,0,1,0,0,3,4,7,0,0,0,0,0,1,3,5,17,21,0,0,0,1,0,10,0,0,0,0,0,2,18,0,17,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,19,19,0,2,0,0,0,0,0,0,3,1,0,3,0,0,8,0,0,0,0,0,1,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,2,1,4,4,0,0,7,0,0,0,0,2,0,1,0,0,0,0,1,1,0,4,0,0,1,1,2,3,3,0,6,3,3,0,0,4,5,3,7,0,4,0,1,1,0,0,3,2,0,1,0,1,1
cell_917,4,3,0,2,0,1,0,0,1,0,4,0,0,0,2,0,0,1,0,0,2,0,0,0,0,8,0,0,0,21,2,0,0,0,0,0,0,0,2,0,0,1,1,0,4,0,0,4,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,2,2,2,16,44,1,0,0,3,0,8,0,0,0,0,0,5,14,0,16,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,3,0,0,24,19,0,3,0,0,0,0,0,6,2,0,0,5,0,0,5,0,1,0,0,0,0,7,0,4,0,0,1,0,3,0,0,0,0,4,0,0,0,6,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,15,0,3,2,0,3,0,1,0,2,0,0,1,1,2,3,0,0,1,2,0,0,14,0,4,1,2,0,0,4,7,0,7,0,2,0,0,0,0,0,5,1,0,1,1,0,0
cell_918,5,2,4,7,0,2,0,0,1,0,19,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,1,0,0,27,1,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,9,0,0,2,0,0,0,15,0,0,2,0,1,0,0,0,1,2,4,0,1,0,0,0,0,4,4,36,49,0,0,0,2,0,16,0,0,0,1,0,4,22,0,10,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,20,14,0,1,0,1,0,0,0,2,2,0,0,4,0,0,20,0,1,1,0,0,1,6,0,3,0,0,2,0,1,0,0,1,0,2,0,0,0,11,1,0,0,0,0,0,0,3,0,0,1,1,0,0,2,8,0,11,1,3,1,0,7,0,2,0,5,0,0,0,0,2,8,0,0,2,1,1,0,8,0,8,4,1,0,0,0,6,0,10,0,0,1,3,3,0,0,3,1,1,0,1,0,4
cell_919,1,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,1,0,3,0,0,0,0,0,0,3,0,0,1,0,1,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0
cell_920,0,0,1,1,0,0,0,0,0,0,8,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,7,19,0,0,0,0,0,5,0,0,0,0,0,1,8,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,14,5,0,3,0,1,0,1,0,1,1,0,1,2,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,2,0,3,1,0,0,0,2,2,0,2,0,1,2,0,1,2,1,3,2,0,1,0,0,0
cell_921,6,5,5,4,0,2,0,0,3,0,28,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,2,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,9,0,0,0,0,0,0,5,6,12,12,0,0,0,1,0,18,0,0,0,2,0,2,20,0,16,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,15,10,0,0,0,2,0,0,0,8,1,0,0,1,0,1,10,0,0,0,0,0,0,2,0,12,0,0,1,0,1,0,2,0,0,0,0,0,0,11,3,1,0,0,0,0,1,2,0,0,1,0,0,0,3,4,1,10,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,12,0,2,3,3,0,0,0,6,0,5,1,3,0,0,1,0,0,0,5,0,0,0,1,3
cell_922,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,1,1
cell_923,19,2,2,7,0,0,0,0,0,0,18,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,1,0,0,0,0,6,1,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,3,4,33,22,0,0,0,0,0,15,0,0,0,0,0,6,17,0,15,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,28,12,0,4,0,0,0,0,0,1,4,0,1,4,0,2,7,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,2,0,0,2,4,0,50,0,1,3,0,10,0,0,0,0,0,0,0,1,0,5,0,0,6,1,0,0,10,0,6,2,1,0,0,1,8,0,5,0,3,0,1,2,0,0,2,2,0,2,0,0,1
cell_924,4,0,0,1,0,0,0,0,0,0,10,0,0,0,3,0,0,1,0,0,2,0,0,0,0,2,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,4,1,0,0,1,0,5,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,2,6,13,19,0,0,0,0,0,13,0,0,0,0,0,0,13,0,11,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,20,7,0,2,0,0,0,0,0,0,0,1,0,8,0,0,11,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,2,1,1,0,0,0,0,0,2,4,0,13,1,0,1,0,13,0,1,0,5,1,0,1,1,1,0,0,0,1,3,0,1,10,0,9,2,3,0,0,4,9,0,4,0,3,0,0,1,0,0,2,0,0,0,0,0,4
cell_925,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,1,0,0,3,2,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,1,1,1,4,0,1,0,1,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,1,2,0,1,2,2,0,0,0,0,1,1,2,1,0,0,5,3,1,1,0
