row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label,niche
cell_609,20.02302957,93.87842641,Invasive_Tumor,SimSpace,-1.06128665981568,-2.74275095055062,10.8631865855453,0.928519739229193,3,Domain 1,Tumor,1
cell_610,19.92417049,97.209597323,Prolif_Invasive_Tumor,SimSpace,-2.44384354701218,-2.80345188583686,9.446847664952,2.14796830566596,3,Domain 1,Tumor,1
cell_611,19.65152876,97.993234607,Invasive_Tumor,SimSpace,-2.18580597775017,-2.57923997218289,10.4795186396834,4.65385152252387,9,Domain 1,Tumor,1
cell_612,19.73935145,99.025404791,Invasive_Tumor,SimSpace,-1.40558536743808,-2.54642281050374,10.9867980357406,2.3481586113758,9,Domain 1,Tumor,1
cell_613,21.12102402,1.590153617,Invasive_Tumor,SimSpace,-3.32398974416132,-1.86160980530573,9.62476323807211,6.71431828888129,9,Domain 1,Tumor,1
cell_614,21.1791112,2.748663974,Invasive_Tumor,SimSpace,-3.97139108859384,-2.28896620017079,7.52951596939536,7.55392886551093,9,Domain 1,Tumor,1
cell_615,20.97361827,5.187922879,Invasive_Tumor,SimSpace,-3.80610245752487,-2.87091085842011,10.5294616099593,7.29800464065742,9,Domain 1,Tumor,1
cell_616,21.08095236,5.853236655,Invasive_Tumor,SimSpace,-3.38946227506978,-2.94682224309512,10.024577843785,6.3903584614582,9,Domain 1,Tumor,1
cell_617,21.04476871,7.893512468,Invasive_Tumor,SimSpace,-2.39509074956141,-2.43770768907424,11.2372214671371,4.98259021194648,9,Domain 1,Tumor,1
cell_618,21.0659246,12.944412007,Invasive_Tumor,SimSpace,-3.70551753647378,-3.12317466240865,12.0994956370589,7.32980204971503,9,Domain 1,Tumor,1
cell_619,21.2571968,14.272748519,Invasive_Tumor,SimSpace,-4.14838656325768,-3.37662885541277,9.33280633652182,9.20088530929755,2,Domain 1,Tumor,1
cell_620,20.69860032,15.0748276,Invasive_Tumor,SimSpace,-4.56850248227276,-2.95167726408685,10.9292685862777,10.4227728977985,2,Domain 1,Tumor,1
cell_621,21.13529215,19.262052921,Invasive_Tumor,SimSpace,-4.47893729994819,-3.15205442967417,10.6780335780379,11.4263606205768,2,Domain 1,Tumor,1
cell_622,20.92359821,22.94645044,Invasive_Tumor,SimSpace,-2.60211304842003,-2.87151254645307,9.18648408615561,2.81732655914496,3,Domain 1,Tumor,1
cell_623,20.95514821,28.042635253,Invasive_Tumor,SimSpace,-3.7959423042704,-2.69433569129407,9.0388190623519,7.2308535710163,2,Domain 1,Tumor,1
cell_624,20.93955005,28.759351309,Invasive_Tumor,SimSpace,-3.86750376201571,-2.53635879934862,10.3188254710433,9.85179568679999,2,Domain 1,Tumor,1
cell_625,20.92497058,30.235606247,Invasive_Tumor,SimSpace,-4.22471047028874,-3.06341856100108,9.50593351089926,9.95373011978339,2,Domain 1,Tumor,1
cell_626,20.75476076,39.021729641,Invasive_Tumor,SimSpace,-3.7499114701192,-2.00397406018355,6.71570705139609,9.05571414383124,4,Domain 1,Tumor,1
cell_627,21.03666784,43.00882582,Endothelial,SimSpace,1.71609014233354,-2.7889558763117,8.6023537989852,-19.7904896601849,7,Domain 3,Tumor,1
cell_628,21.33418861,44.067663108,Invasive_Tumor,SimSpace,-0.903360889329962,-3.93767830070285,10.5161216136214,2.86585236938666,3,Domain 1,Tumor,1
cell_629,20.9887734,46.289358415,Invasive_Tumor,SimSpace,-1.77995593470331,-3.56397877886187,10.8782536860702,3.92421914489936,9,Domain 1,Tumor,1
cell_630,20.99972299,47.957100979,Invasive_Tumor,SimSpace,-2.24448828921139,-3.21000307792541,11.7418677684066,5.85374881179999,9,Domain 1,Tumor,1
cell_631,20.86254019,49.332607792,Invasive_Tumor,SimSpace,-2.34686243050203,-3.72544105951115,10.8774478312728,4.07886363418769,9,Domain 1,Tumor,1
cell_632,20.97650509,49.829695483,Invasive_Tumor,SimSpace,-2.47404960784909,-3.71178924093888,10.2097432490584,4.26083136947822,9,Domain 1,Tumor,1
cell_633,21.09323329,52.084436922,Invasive_Tumor,SimSpace,-3.53792853471364,-2.85060812848784,5.83651565277548,8.34520579727363,4,Domain 1,Tumor,1
cell_634,20.92595151,57.401843712,Invasive_Tumor,SimSpace,-4.54013593799613,-2.27972698851587,5.4655039187667,10.2445311680622,4,Domain 1,Tumor,1
cell_635,20.90923919,59.902037054,Invasive_Tumor,SimSpace,-4.86466413221373,-2.45825822753748,2.74331449234458,9.95050765426826,4,Domain 1,Tumor,1
cell_636,21.08065291,61.049051171,Invasive_Tumor,SimSpace,-4.87387035012649,-2.26803639667721,6.26776050293418,13.1611323490925,2,Domain 1,Tumor,1
cell_637,20.81639905,62.175501013,Prolif_Invasive_Tumor,SimSpace,-5.12659837814697,-2.63288295094205,4.57412694656821,10.4016270771809,4,Domain 1,Tumor,1
cell_638,21.05049933,63.97242006,Invasive_Tumor,SimSpace,-4.61258892885276,-2.92620505257495,10.9088294383285,11.1694331303425,2,Domain 1,Tumor,1
cell_639,21.16406436,66.699929345,Invasive_Tumor,SimSpace,-4.73081788617018,-2.0068462364148,7.94994806015463,9.65005828293036,2,Domain 1,Tumor,1
cell_640,21.27198971,69.788808128,Invasive_Tumor,SimSpace,-3.94002563937899,-3.56899360443407,8.31271527969809,7.80924750717353,2,Domain 1,Tumor,1
cell_641,20.9819236,72.116186518,Invasive_Tumor,SimSpace,-1.2921131244044,-3.9969001254523,7.70265554153891,0.16467358024787,3,Domain 1,Tumor,1
cell_642,21.27351945,76.178303064,Invasive_Tumor,SimSpace,-0.365427561639096,-1.60015373555028,7.30867074692221,-0.950712339561472,3,Domain 1,Tumor,1
cell_643,21.20688198,79.156911067,Prolif_Invasive_Tumor,SimSpace,-2.20654980242378,-2.31880631938427,8.5573565837142,5.34250832946967,9,Domain 1,Tumor,1
cell_644,20.80075747,81.229286403,Prolif_Invasive_Tumor,SimSpace,-4.03715725750204,-2.47816195113293,3.84211753571005,8.87831641586494,4,Domain 1,Tumor,1
cell_645,20.7564123,83.014397039,Invasive_Tumor,SimSpace,-3.49044614411335,-2.35909710353757,7.04593013489218,7.33364440353583,4,Domain 1,Tumor,1
cell_646,20.93900727,87.041646634,Macrophages_1,SimSpace,1.54750939658203,-2.37923059117658,5.82430289947959,-12.8070301875286,6,Domain 2,Stromal,1
cell_647,21.2057871,87.696226268,Invasive_Tumor,SimSpace,0.109290400796856,-2.67933922326998,7.04158996307822,0.235721959192267,3,Domain 1,Tumor,1
cell_648,20.9855426,93.063465791,T_Cell_&_Tumor_Hybrid,SimSpace,1.31656315219639,-2.28353026364032,7.83676217758627,-11.4250216349773,6,Domain 2,Stromal,1
cell_649,20.87986849,94.122536157,Invasive_Tumor,SimSpace,1.26236628213055,-2.91478998679993,9.39564298355551,-3.6885104045086,3,Domain 1,Tumor,1
cell_650,21.31044864,95.883357741,Invasive_Tumor,SimSpace,1.24100596684873,-3.13789345724858,9.41373704636069,-4.77723477927972,3,Domain 1,Tumor,1
cell_651,21.0573809,97.12880034,Invasive_Tumor,SimSpace,-0.335138218571046,-3.32142925004338,9.95218251907797,-3.09291015712548,3,Domain 1,Tumor,1
cell_652,20.53588114,97.636822231,Invasive_Tumor,SimSpace,-1.63624961272462,-2.97321718806737,10.0820433970687,-1.36950881181289,3,Domain 1,Tumor,1
cell_653,22.06343213,1.15021992,T_Cell_&_Tumor_Hybrid,SimSpace,-1.54733482756956,-1.87159841727083,8.71054338180991,-10.5852980479412,6,Domain 2,Stromal,1
cell_654,22.10400812,2.060056865,Invasive_Tumor,SimSpace,-3.20775320239211,-2.31083400928811,9.77273153030844,6.61813451202582,9,Domain 1,Tumor,1
cell_655,22.04512173,3.422121707,Invasive_Tumor,SimSpace,-4.22900369823519,-2.54451674081405,10.4637277003524,9.28490878494453,2,Domain 1,Tumor,1
cell_656,22.08994242,4.282617107,Invasive_Tumor,SimSpace,-4.30362125684604,-3.05784071446871,11.6997249003646,9.95834685714911,2,Domain 1,Tumor,1
cell_657,21.98654488,6.301396072,Invasive_Tumor,SimSpace,-3.2461380498878,-2.8077134550954,11.2562405940291,6.45751572998237,9,Domain 1,Tumor,1
cell_658,21.73632083,7.163479419,Invasive_Tumor,SimSpace,-2.24983474276907,-2.61331542422209,9.17720197403403,7.07154799850654,9,Domain 1,Tumor,1
cell_659,21.9258592,12.129323123,Invasive_Tumor,SimSpace,-3.23955683027713,-2.95294218940548,11.8335578318831,7.3703160420246,9,Domain 1,Tumor,1
cell_660,21.81087684,12.763673737,Invasive_Tumor,SimSpace,-3.87884069423816,-3.34274655449739,9.72578691208335,7.40963794143867,9,Domain 1,Tumor,1
cell_661,21.81345182,13.93298174,Invasive_Tumor,SimSpace,-4.0248969211141,-3.31455407757685,8.55569528305502,9.91507102401923,2,Domain 1,Tumor,1
cell_662,21.74738633,16.365345694,Prolif_Invasive_Tumor,SimSpace,-4.14845196506931,-2.95168408903377,5.62813590729209,8.46966124923896,4,Domain 1,Tumor,1
cell_663,22.09049782,16.70876711,Invasive_Tumor,SimSpace,-4.06786530668202,-3.14630058444209,10.9370171900985,10.9620528355427,2,Domain 1,Tumor,1
cell_664,22.01957923,17.909943633,Invasive_Tumor,SimSpace,-4.01297854160107,-2.97866952634982,6.06535981857749,9.05983401687812,4,Domain 1,Tumor,1
cell_665,21.91036693,18.716153184,Invasive_Tumor,SimSpace,-4.35327075727435,-3.25141760374009,10.9022233363387,10.3076777592487,2,Domain 1,Tumor,1
cell_666,21.87013241,20.290190363,Invasive_Tumor,SimSpace,-3.25616831899792,-3.21398716267346,7.29360078537436,4.78570176513862,3,Domain 1,Tumor,1
cell_667,21.99531538,20.886843734,Invasive_Tumor,SimSpace,-2.90239569681027,-3.24997279761052,6.82268356049033,2.21932221801948,3,Domain 1,Tumor,1
cell_668,22.21583895,26.308906873,Invasive_Tumor,SimSpace,-2.78999161786551,-2.09048750511992,6.40853761398764,4.68394423874091,3,Domain 1,Tumor,1
cell_669,21.59915686,27.917247501,Invasive_Tumor,SimSpace,-4.12492955327821,-2.51407088255947,9.69381879532309,8.17501689346503,2,Domain 1,Tumor,1
cell_670,22.0753753,31.899173584,Invasive_Tumor,SimSpace,-3.74752652753596,-3.65234501597251,10.9617860194442,6.40823651703071,9,Domain 1,Tumor,1
cell_671,21.89085761,36.255705838,Invasive_Tumor,SimSpace,-3.35731647412503,-1.88931250640825,5.46938441956015,7.92111731918525,4,Domain 1,Tumor,1
cell_672,21.62308283,39.187766345,Invasive_Tumor,SimSpace,-4.31030617547759,-2.53546932395677,9.39293264114829,10.7774510517902,2,Domain 1,Tumor,1
cell_673,21.61085938,39.456743938,Invasive_Tumor,SimSpace,-3.86896764033959,-2.51355865246895,11.514643418431,9.39047862442206,2,Domain 1,Tumor,1
cell_674,21.8174433,43.090228158,T_Cell_&_Tumor_Hybrid,SimSpace,-0.355285323871088,-3.65582358331142,8.66297696793051,-10.636768804472,6,Domain 2,Stromal,1
cell_675,22.04390191,46.120033376,Invasive_Tumor,SimSpace,-2.95408362182062,-3.35852757165551,12.1416604396102,6.38446332367133,9,Domain 1,Tumor,1
cell_676,22.07861259,48.041961386,T_Cell_&_Tumor_Hybrid,SimSpace,-1.58629088536286,-2.9620669026933,8.45132325851889,-11.4609417781048,6,Domain 2,Stromal,1
cell_677,21.81220369,51.868468399,Invasive_Tumor,SimSpace,-3.82816035142868,-3.0714596454154,9.37145303451987,8.79547454269599,2,Domain 1,Tumor,1
cell_678,22.2034042,55.005681689,Invasive_Tumor,SimSpace,-4.44251174392873,-1.58412928445735,11.5476834651229,10.5595612660236,2,Domain 1,Tumor,1
cell_679,22.2845967,55.920387704,Invasive_Tumor,SimSpace,-3.88273480492258,-1.44335627175703,6.30837749206992,9.18873645218085,4,Domain 1,Tumor,1
cell_680,22.07921732,57.042264606,Invasive_Tumor,SimSpace,-4.43593946999542,-1.64599696468837,9.44939111435385,9.16664554031562,2,Domain 1,Tumor,1
cell_681,21.88171947,59.959521147,Prolif_Invasive_Tumor,SimSpace,-5.10972202990499,-2.27357291234574,2.78997873032065,10.1182770863361,4,Domain 1,Tumor,1
cell_682,22.22488384,60.875614368,Invasive_Tumor,SimSpace,-5.19069956314927,-2.28595158026915,6.38426803314658,13.527498735506,2,Domain 1,Tumor,1
cell_683,22.15107914,62.032754089,Invasive_Tumor,SimSpace,-5.24881358086075,-2.45317889487549,7.44817613327475,11.9405732289143,2,Domain 1,Tumor,1
cell_684,22.17348148,63.160487782,Invasive_Tumor,SimSpace,-5.16782697316274,-2.79483378877279,10.2447183009383,12.9836306706257,2,Domain 1,Tumor,1
cell_685,21.86870727,64.057801178,Invasive_Tumor,SimSpace,-4.88746605754196,-2.99091638790382,10.7473838206527,11.2050538197346,2,Domain 1,Tumor,1
cell_686,21.4330891,64.889271522,Invasive_Tumor,SimSpace,-4.60006685634686,-2.30724005608997,11.3253085490462,11.4258551731892,2,Domain 1,Tumor,1
cell_687,22.4233582,66.067250804,Invasive_Tumor,SimSpace,-4.60495523329249,-2.68021911892623,6.60196374618979,10.4662051335163,4,Domain 1,Tumor,1
cell_688,21.67782432,67.213958478,Invasive_Tumor,SimSpace,-4.69083526881782,-2.00797527229776,10.8557050105331,10.7132754460163,2,Domain 1,Tumor,1
cell_689,21.99284639,68.319080834,Invasive_Tumor,SimSpace,-4.34994773587491,-2.10464304612777,11.3948590632674,10.8295703068561,2,Domain 1,Tumor,1
cell_690,22.47614907,70.241510517,Invasive_Tumor,SimSpace,-3.87509812768267,-3.6370745478798,8.92844270431967,8.90213729294013,2,Domain 1,Tumor,1
cell_691,22.06611535,71.107476039,Invasive_Tumor,SimSpace,-3.64105696208042,-4.68756537871707,7.27056764328452,11.6836094990559,2,Domain 1,Tumor,1
cell_692,22.18984929,71.798175194,Invasive_Tumor,SimSpace,-2.56582296289907,-4.4300551205205,7.73676274979086,4.24789334686469,3,Domain 1,Tumor,1
cell_693,21.69952069,74.726889455,Invasive_Tumor,SimSpace,0.0193190653998718,-2.44643382962756,7.59911416733237,-1.12605767099191,3,Domain 1,Tumor,1
cell_694,21.64446661,75.959523757,Invasive_Tumor,SimSpace,-0.353477705837886,-1.8727018028518,7.25235723221274,-1.06777128724385,3,Domain 1,Tumor,1
cell_695,21.89345944,79.718163044,Invasive_Tumor,SimSpace,-2.77237321090813,-2.87218159182956,8.58774636948081,5.28287364395331,9,Domain 1,Tumor,1
cell_696,22.21814995,80.843043054,Invasive_Tumor,SimSpace,-3.1457276836938,-3.1218282450359,8.87300847732993,4.76987410934638,9,Domain 1,Tumor,1
cell_697,21.93075011,81.965975539,Prolif_Invasive_Tumor,SimSpace,-3.48602459536557,-2.57437840468509,3.77680324280234,7.49553538711738,4,Domain 1,Tumor,1
cell_698,21.84107274,84.903157916,Invasive_Tumor,SimSpace,-0.799573643103355,-2.39600263513225,8.5365521785018,0.106662763673773,3,Domain 1,Tumor,1
cell_699,22.03959346,87.934416389,Invasive_Tumor,SimSpace,0.597475390956304,-2.36615777333603,7.33211110794516,-0.736061559598932,3,Domain 1,Tumor,1
cell_700,22.21638704,88.734399075,Invasive_Tumor,SimSpace,0.821765240428116,-2.03030001110366,7.41994928085776,0.378275884706488,3,Domain 1,Tumor,1
cell_701,21.71101196,92.046293352,Invasive_Tumor,SimSpace,0.439596859489851,-1.93404885078081,12.0344588633773,2.9962287083454,9,Domain 1,Tumor,1
cell_702,21.7578914,95.19930161,Endothelial,SimSpace,5.09595162885463,-2.42833170490541,7.42989228928061,-20.6424641474896,7,Domain 3,Tumor,1
cell_703,22.84226615,1.890372506,Invasive_Tumor,SimSpace,-2.55813052278972,-2.16503170182145,9.57208799087973,1.89789248855781,3,Domain 1,Tumor,1
cell_704,23.21892767,5.145151069,Invasive_Tumor,SimSpace,-3.50456470548906,-3.51754209137682,9.78600667679282,2.76279260070991,3,Domain 1,Tumor,1
cell_705,23.04696431,15.532545343,Invasive_Tumor,SimSpace,-3.68832049721522,-3.78376756517139,8.66980432236167,10.3005480900593,2,Domain 1,Tumor,1
cell_706,23.42643068,15.981637794,Prolif_Invasive_Tumor,SimSpace,-3.39435311115111,-3.71780728039948,4.46940349304648,9.47992755325507,4,Domain 1,Tumor,1
cell_707,23.18728915,18.130242002,Invasive_Tumor,SimSpace,-3.3373861231628,-3.70651944491803,7.88322709763022,4.65756703766059,3,Domain 1,Tumor,1
cell_708,22.99298096,21.039354018,Invasive_Tumor,SimSpace,0.354742393024911,-3.15310890283278,5.81760381424399,-0.460373805444727,3,Domain 1,Tumor,1
cell_709,23.25301557,22.193924746,Invasive_Tumor,SimSpace,1.92954200409723,-2.83116350181985,5.52424548828574,-1.06051550952722,3,Domain 1,Tumor,1
cell_710,23.0422994,23.656270025,Invasive_Tumor,SimSpace,1.11131408368079,-2.95106114236389,5.47070621216269,-0.917090253513345,3,Domain 1,Tumor,1
cell_711,22.85901573,26.788608646,Invasive_Tumor,SimSpace,-2.85069757442395,-2.51308412402865,6.26462053024741,4.85622073562812,3,Domain 1,Tumor,1
cell_712,23.13599497,28.028692786,Invasive_Tumor,SimSpace,-3.7694034952858,-2.82494858384872,9.7452456828353,11.0312314167805,2,Domain 1,Tumor,1
cell_713,22.86073467,29.177392513,Invasive_Tumor,SimSpace,-4.37835489992697,-3.05553646400004,6.88530658447714,10.4438433781452,4,Domain 1,Tumor,1
cell_714,22.94192058,33.026104805,Invasive_Tumor,SimSpace,-3.60404649478624,-3.73644579434011,11.8474204417464,6.54127074630927,9,Domain 1,Tumor,1
cell_715,23.26555654,33.66708535,T_Cell_&_Tumor_Hybrid,SimSpace,-2.12276046041086,-3.38620553958353,8.87047074997397,-10.493738637846,6,Domain 2,Stromal,1
cell_716,22.9797437,35.835277345,Prolif_Invasive_Tumor,SimSpace,-3.32816498382121,-2.65047255576849,6.22503827774497,7.40922404678535,9,Domain 1,Tumor,1
cell_717,22.83937172,36.841058776,Invasive_Tumor,SimSpace,-4.22478474566501,-1.8357128657441,10.9124791499373,10.2650876179523,4,Domain 1,Tumor,1
cell_718,22.90713246,40.077798389,Invasive_Tumor,SimSpace,-4.4710538286529,-2.92512753569442,11.7256429072616,9.78431655319404,2,Domain 1,Tumor,1
cell_719,23.20435812,40.847592208,Invasive_Tumor,SimSpace,-4.1031658083733,-3.12620142088251,10.9759890910384,8.88268996627997,9,Domain 1,Tumor,1
cell_720,22.88949187,42.863838579,Invasive_Tumor,SimSpace,-3.01374100972065,-3.8696439764298,11.3055388804671,4.81474639328193,9,Domain 1,Tumor,1
cell_721,22.92262583,44.216949515,Invasive_Tumor,SimSpace,-3.05629321740819,-3.89813463924302,11.3766705867049,5.1290092602558,9,Domain 1,Tumor,1
cell_722,22.89794145,51.267063255,Invasive_Tumor,SimSpace,-4.10213249589355,-3.26813786436621,8.92250417435141,8.0620360508747,9,Domain 1,Tumor,1
cell_723,23.0367851,52.917345039,Invasive_Tumor,SimSpace,-4.62398177562218,-2.50888292711732,10.4198129054305,10.7994303837604,2,Domain 1,Tumor,1
cell_724,22.92290205,58.084980534,Invasive_Tumor,SimSpace,-3.96384702847265,-1.84112016539733,8.84084581100913,9.38578082473945,2,Domain 1,Tumor,1
cell_725,22.67963279,62.62370324,Invasive_Tumor,SimSpace,-5.15199319842941,-2.45873118705307,6.75488685333701,11.2782902851887,2,Domain 1,Tumor,1
cell_726,22.82256381,65.039665412,Invasive_Tumor,SimSpace,-4.72664664393282,-2.9092370753542,7.15190194809409,10.8966374531574,2,Domain 1,Tumor,1
cell_727,22.81344219,66.23799561,Prolif_Invasive_Tumor,SimSpace,-4.75199617794254,-2.58090212509492,4.43101190292807,9.81931067856025,4,Domain 1,Tumor,1
cell_728,23.24866388,69.105356341,Prolif_Invasive_Tumor,SimSpace,-4.0913104442463,-2.26288911242802,4.85752128326865,8.75002814682197,4,Domain 1,Tumor,1
cell_729,23.16253481,70.020212169,Invasive_Tumor,SimSpace,-4.08546216568974,-3.07634357467095,9.48561834061118,9.27408076675605,2,Domain 1,Tumor,1
cell_730,23.11745188,70.922271405,Invasive_Tumor,SimSpace,-4.07863281466398,-4.22521416395531,5.47390865051718,7.69183207901191,4,Domain 1,Tumor,1
cell_731,22.89892834,71.870641597,Invasive_Tumor,SimSpace,-3.00627174483128,-4.27325414810843,8.0391795512435,4.21726085098456,3,Domain 1,Tumor,1
cell_732,22.83684169,73.964183519,Endothelial,SimSpace,1.66854693980169,-2.3938912325645,8.40962098801108,-19.3965420588665,7,Domain 3,Tumor,1
cell_733,22.89849648,78.689711772,Prolif_Invasive_Tumor,SimSpace,0.132999066546441,-2.29862801656071,4.64745639526816,-1.03494155554105,3,Domain 1,Tumor,1
cell_734,22.78962398,80.322091796,Prolif_Invasive_Tumor,SimSpace,-1.30703825018608,-2.99143357057567,4.12574695312949,-0.449328170698175,3,Domain 1,Tumor,1
cell_735,23.49944008,82.112842128,Invasive_Tumor,SimSpace,0.49296035583102,-2.56536421469286,5.38004087173911,-1.39369999019433,3,Domain 1,Tumor,1
cell_736,22.55093567,82.979512593,Invasive_Tumor,SimSpace,-1.98962635902627,-2.54247378342891,9.1187112208602,3.57426263244819,3,Domain 1,Tumor,1
cell_737,23.11280171,84.876039045,Endothelial,SimSpace,1.23597516758802,-1.63680122044869,8.5076272364852,-20.0258526667767,7,Domain 3,Tumor,1
cell_738,22.74308954,91.985932076,Prolif_Invasive_Tumor,SimSpace,0.0243800693634669,-2.34376726698986,8.72598718368979,-0.615041957777033,3,Domain 1,Tumor,1
cell_739,22.9791313,95.159558988,Endothelial,SimSpace,6.94709717351844,-1.8195547637308,7.02725242340537,-21.8803677424603,7,Domain 3,Tumor,1
cell_740,22.80239961,99.202289578,Invasive_Tumor,SimSpace,-0.0559526565721745,-2.71963152125589,10.3271062251327,-1.77349375335504,3,Domain 1,Tumor,1
cell_741,23.76447421,0.819261814,Invasive_Tumor,SimSpace,-0.320606968568912,-1.49040051814449,9.80127786362143,0.702773226816168,3,Domain 1,Tumor,1
cell_742,23.77196074,2.805294248,Invasive_Tumor,SimSpace,-2.28256186692739,-2.55457381351788,9.54379056656333,0.970515979845038,3,Domain 1,Tumor,1
cell_743,24.35099723,6.415645993,Invasive_Tumor,SimSpace,0.0568366897233424,-2.9003494594283,9.06570123398276,-2.89644001571465,3,Domain 1,Tumor,1
cell_744,23.97340232,12.227318572,Invasive_Tumor,SimSpace,-1.92436120141044,-2.50821640762529,7.25536321365805,3.41538335235786,3,Domain 1,Tumor,1
cell_745,23.84685956,13.141703988,Invasive_Tumor,SimSpace,-3.05319414240112,-2.90904578546036,7.75264905655356,6.32360745819282,3,Domain 1,Tumor,1
cell_746,24.11115739,14.972270751,Invasive_Tumor,SimSpace,-3.52492672536282,-3.61773086381633,7.31490205490561,9.41919566543769,2,Domain 1,Tumor,1
cell_747,24.00206986,17.184804068,Invasive_Tumor,SimSpace,-2.86960849345075,-4.15581355644106,7.92107843124838,6.72579480560493,2,Domain 1,Tumor,1
cell_748,24.14400675,21.745353365,Macrophages_1,SimSpace,6.11180681003331,-2.15990065834529,4.87086843216391,-14.5322298869305,6,Domain 2,Stromal,0
cell_749,23.63514867,24.306353684,Stromal,SimSpace,4.48306108235181,-2.36482201324259,2.23114608490439,-12.991577611845,6,Domain 2,Stromal,0
cell_750,24.06072078,25.992845555,Invasive_Tumor,SimSpace,0.241955356596082,-3.40051488857894,4.5831420298812,-0.618421839159021,3,Domain 1,Tumor,1
cell_751,24.15453897,28.1581723,Invasive_Tumor,SimSpace,-3.88711269490895,-3.06606566562384,9.4524342890975,7.46209479721259,2,Domain 1,Tumor,1
cell_752,23.66768034,29.129243555,Invasive_Tumor,SimSpace,-4.72413156387796,-2.94682202736631,9.47761033737631,12.6859088078327,2,Domain 1,Tumor,1
cell_753,24.08963906,29.973685818,Invasive_Tumor,SimSpace,-4.86897119918266,-2.98956952962163,10.1948573466537,12.9930005207844,2,Domain 1,Tumor,1
cell_754,24.33923631,34.964926729,Invasive_Tumor,SimSpace,-3.53919308401772,-3.55196930951921,11.8893105860946,6.71726704986762,9,Domain 1,Tumor,1
cell_755,23.99702846,36.244316628,Invasive_Tumor,SimSpace,-4.03097822541429,-2.87654876963353,11.5511577006576,8.78985453994941,9,Domain 1,Tumor,1
cell_756,24.16428119,38.205299481,Invasive_Tumor,SimSpace,-4.47429685440834,-2.52930569860576,6.80929254257651,9.54653598221015,4,Domain 1,Tumor,1
cell_757,24.13411409,38.645553776,Invasive_Tumor,SimSpace,-4.46826438752966,-2.41186094322476,5.13637326920004,9.11950351150703,4,Domain 1,Tumor,1
cell_758,23.85849886,48.661518853,Invasive_Tumor,SimSpace,-2.3690829973291,-3.22066053229099,11.8304812785384,4.57511044891547,9,Domain 1,Tumor,1
cell_759,24.00795335,49.810755876,Invasive_Tumor,SimSpace,-2.42547475684442,-3.32142996598068,11.3640534754989,4.28468037994575,9,Domain 1,Tumor,1
cell_760,23.68660106,52.82129092,Invasive_Tumor,SimSpace,-4.28148456513947,-2.57663536484745,6.69694875442954,9.25342608841132,4,Domain 1,Tumor,1
cell_761,23.90973939,54.776294825,Invasive_Tumor,SimSpace,-4.18780580958989,-2.19964556554785,10.765770661473,10.098754419405,2,Domain 1,Tumor,1
cell_762,24.05313759,56.054422129,Invasive_Tumor,SimSpace,-3.91627322955364,-2.56887467687695,11.6657750483748,8.75980903061103,9,Domain 1,Tumor,1
cell_763,24.1446201,57.907259111,Invasive_Tumor,SimSpace,-3.58903527449768,-2.13427740154888,7.42114518845053,8.6070971623249,9,Domain 1,Tumor,1
cell_764,24.00492243,59.241224924,Prolif_Invasive_Tumor,SimSpace,-4.0429276768627,-2.3637558365422,3.86502002441855,8.30500079544257,4,Domain 1,Tumor,1
cell_765,24.14399675,63.290575553,Invasive_Tumor,SimSpace,-5.13347925974959,-2.11953440854428,10.6811196681258,12.0492520466633,2,Domain 1,Tumor,1
cell_766,23.77941876,65.994263353,Invasive_Tumor,SimSpace,-4.84684557276755,-2.44202067802614,6.4318101283309,10.1253543034382,4,Domain 1,Tumor,1
cell_767,23.97966055,69.33669159,Invasive_Tumor,SimSpace,-3.86353036218211,-2.33787232005211,6.08093236649008,9.40000487716865,4,Domain 1,Tumor,1
cell_768,24.00385588,70.004842862,Invasive_Tumor,SimSpace,-3.76128070606875,-2.89455947426458,7.4462201472518,10.417882455904,2,Domain 1,Tumor,1
cell_769,24.36991825,71.913041871,Invasive_Tumor,SimSpace,-3.6877734280783,-3.88570107221429,8.13531659805747,4.38274289520453,3,Domain 1,Tumor,1
cell_770,23.95716667,88.012957148,Macrophages_1,SimSpace,2.76062431759226,-1.05932325369954,8.30009816849204,-3.14951680747796,3,Domain 1,Tumor,1
cell_771,23.90019667,89.188972,Macrophages_1,SimSpace,4.23389278485235,-0.751859843927369,6.0053021785018,-13.9537119731121,6,Domain 2,Stromal,1
cell_772,24.00427024,89.677107805,Invasive_Tumor,SimSpace,1.76397070851001,-1.38275791010629,8.25034402573081,-3.32551406471063,3,Domain 1,Tumor,1
cell_773,23.81617731,90.958280136,Invasive_Tumor,SimSpace,0.794126716438521,-1.92243900884466,8.32663415634604,-2.27412127105523,3,Domain 1,Tumor,1
cell_774,24.03855077,93.059481132,Invasive_Tumor,SimSpace,1.60605700819124,-3.35366456749968,8.74216054642172,-3.83934663383294,3,Domain 1,Tumor,1
cell_775,23.92698896,94.072616933,Macrophages_1,SimSpace,4.49026808570716,-2.67191317908115,6.07095597946616,-14.6251158579998,6,Domain 2,Stromal,1
cell_776,23.64173449,96.926312731,Endothelial,SimSpace,4.84075805826196,-1.78139013585922,7.00105642044516,-20.5899147853069,7,Domain 3,Tumor,1
