,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100
CXCR4,1.3570652,2.2179904,2.3303695,1.4554399,1.5275998,1.4287362,2.1505165,2.3768785,1.1986985,1.1683755,1.3970404,2.530242,1.9524968,1.6843175,1.3784449,2.1363623,1.7784142,2.0929768,1.4772458,1.4749473,1.3208916,1.461452,1.5180364,2.303058,1.6688344,2.2484708,1.451753,1.557856,1.7866716,1.2386338,2.217096,1.8180065,1.3308656,2.5321922,1.7599196,2.1412165,1.4852493,2.4744966,1.1206926,2.1867259,1.2596389,1.3151959,1.6380978,1.4559866,1.4302835,1.2230123,2.110611,2.5696971,2.2699258,1.4716097,1.8344591,2.3976965,1.1710839,1.5779845,1.5652072,1.4760498,1.7175814,1.3641796,1.115967,1.9591862,1.209998,2.6543891,1.291904,1.2662334,1.4185743,2.6931448,1.1188115,2.1308002,2.4421425,1.5014297,1.5776137,1.1759875,2.3629298,1.9665024,1.4052408,2.5954146,1.185092,1.7637154,1.7569582,1.309476,1.7490878,1.9280727,1.3831975,2.364916,1.3754251,2.6850216,1.7917023,1.5856338,1.5712045,1.4299018,1.2664145,2.2052615,1.8881598,1.3698148,1.5914283,1.9648523,1.3781931,1.3574204,1.1186377,1.403101
CYTIP,0.23032884,0.34115922,0.38189024,0.3078379,0.2628666,0.24389477,0.3006957,0.36164606,0.25029212,0.19717902,0.2630646,0.4463017,0.28368598,0.298975,0.22820373,0.32488352,0.33660436,0.40677375,0.28255618,0.28568104,0.24615872,0.24526325,0.26482648,0.22891586,0.28678966,0.4029531,0.21287985,0.2656604,0.29732615,0.24952446,0.40148503,0.33026242,0.20249677,0.32749498,0.25720912,0.35067615,0.26975954,0.34320417,0.21861888,0.30817005,0.18275414,0.20480946,0.2335438,0.25633538,0.23001707,0.19767894,0.30390224,0.39783767,0.39462623,0.23547262,0.28918004,0.3266578,0.21658571,0.2801192,0.3040202,0.32947758,0.34638798,0.23285767,0.2254429,0.31274837,0.23162784,0.40855882,0.22329237,0.27146235,0.28211874,0.41058743,0.17895865,0.3060212,0.43545654,0.25148356,0.26027003,0.19794698,0.3660646,0.32915613,0.22497368,0.26485062,0.17758031,0.34023494,0.27266517,0.25763863,0.25488266,0.32291391,0.23567326,0.3595534,0.29537886,0.36106184,0.3934465,0.25870305,0.27225742,0.26886788,0.24487217,0.28279117,0.2670384,0.24049422,0.26218504,0.32535365,0.2489076,0.2506371,0.16877203,0.18547577
DAPK3,0.28380948,0.53600276,0.50025314,0.23920895,0.31284332,0.3370759,0.44473982,0.5137184,0.25665206,0.21777657,0.3051364,0.53162557,0.43073055,0.32774147,0.28466934,0.46617484,0.34291023,0.53216803,0.36359107,0.27108145,0.31214622,0.2883241,0.33794424,0.4410478,0.26948142,0.48701355,0.27723446,0.31294104,0.32161704,0.23128611,0.4659633,0.3567513,0.24698989,0.61669797,0.34392068,0.4261178,0.27450365,0.5659623,0.22670259,0.47885272,0.24229117,0.24384403,0.31143364,0.2977599,0.27467576,0.2806678,0.44355258,0.49463382,0.51302046,0.28309506,0.37036827,0.45187563,0.21055552,0.32370633,0.32465798,0.37430856,0.3705557,0.28218776,0.25277892,0.39365572,0.20161946,0.6465536,0.30845782,0.23253514,0.2864051,0.5556166,0.22377951,0.38230327,0.4821183,0.31876326,0.29380706,0.24917467,0.5321957,0.37772655,0.24481755,0.47663248,0.2258702,0.32545626,0.3395361,0.29618362,0.36925426,0.33882812,0.28362125,0.5399341,0.30814883,0.49790788,0.39593548,0.39202657,0.3057881,0.3024011,0.24560173,0.44791606,0.34833515,0.24376683,0.32299763,0.35191506,0.2897609,0.27992058,0.22782156,0.21189621
DMKN,0.381003,0.80913395,0.64121544,0.4584239,0.44168913,0.4061445,0.72125775,0.74854064,0.4105215,0.34048817,0.41520673,0.7827994,0.6007709,0.63123107,0.46453393,0.78768045,0.614575,0.77869415,0.38952768,0.5254371,0.41334602,0.46184266,0.54820114,0.76742876,0.5615411,0.77229,0.4498091,0.50242954,0.5456254,0.38051784,0.79776263,0.66379213,0.40982893,0.9261716,0.59411144,0.6585371,0.48593974,0.76227075,0.3511008,0.6594544,0.4478575,0.4095388,0.5482492,0.43538246,0.386443,0.38651565,0.7453289,0.8929905,0.75590515,0.5386919,0.54159224,0.7961672,0.40316683,0.4192599,0.52246267,0.531613,0.49024573,0.44024077,0.39193913,0.6655553,0.3534276,0.95881426,0.41664255,0.3711446,0.46184015,0.97130513,0.40253678,0.647071,0.8003103,0.4802837,0.52968884,0.3378877,0.7619059,0.6524582,0.5009777,0.85974365,0.38008142,0.59460187,0.5149213,0.44993454,0.58808416,0.57165045,0.41668245,0.8648613,0.38477796,0.90090543,0.58344233,0.4113979,0.5228613,0.42669687,0.36752152,0.7300341,0.6099679,0.505527,0.5391018,0.5705814,0.37924227,0.43902728,0.33093038,0.41884932
DNTTIP1,0.62914324,1.1041924,1.1872126,0.72785664,0.7220227,0.63896173,1.0796671,1.2240698,0.5588221,0.48978707,0.6448359,1.2724917,0.8731329,0.79747725,0.68894935,1.1092288,0.8394872,0.9944257,0.71142316,0.6831228,0.6130503,0.6731237,0.70256776,1.1160043,0.77336335,1.1351717,0.691394,0.7235499,0.8326751,0.55672693,1.0845729,0.90704,0.612525,1.3164601,0.9749701,1.0272738,0.6822197,1.1804261,0.49841282,1.0767992,0.53645945,0.58217525,0.79109055,0.7223075,0.71245354,0.55803436,1.0813112,1.2657002,1.0454144,0.69394207,0.8659295,1.2557982,0.5279275,0.7622722,0.73698074,0.7065335,0.88648754,0.6444161,0.49860758,0.8456178,0.6058205,1.3600192,0.5861397,0.5523354,0.65344733,1.4389807,0.513957,0.9805745,1.238425,0.721131,0.7472601,0.4967492,1.0281391,0.8946993,0.63747835,1.2649024,0.50593555,0.88078135,0.89472455,0.6043059,0.8001187,0.9359682,0.61586696,1.189263,0.6337856,1.274253,0.912965,0.74536186,0.7323487,0.7121191,0.5816123,1.0780563,0.8629422,0.66740966,0.7628176,0.9560368,0.6282884,0.66012067,0.5149727,0.6192554
DPT,0.16895759,0.3253622,0.3635944,0.2197816,0.24009998,0.20515423,0.24742515,0.32199448,0.19228482,0.19315645,0.22200193,0.36941934,0.21256174,0.2681199,0.23133385,0.2404905,0.330327,0.29926947,0.23082376,0.24585937,0.24128176,0.27996197,0.14903139,0.32492417,0.3164878,0.2734752,0.26890138,0.2114458,0.27623302,0.27149916,0.26382056,0.2831267,0.23307815,0.22909735,0.2022248,0.28477132,0.25161105,0.16189648,0.184172,0.36352593,0.18600127,0.19141391,0.2187555,0.27632576,0.16900755,0.22076146,0.31935588,0.2415781,0.26423472,0.21842207,0.31038907,0.29855666,0.23423307,0.22694501,0.27777764,0.28171507,0.338664,0.25291172,0.19627197,0.28442505,0.20296808,0.27679053,0.27050638,0.21803088,0.22070257,0.2837893,0.16617201,0.2542964,0.28423634,0.23239069,0.24315396,0.15571775,0.29230937,0.2232498,0.2735532,0.36093253,0.2149083,0.24558577,0.24667168,0.2293172,0.19411421,0.3015213,0.19096859,0.2158412,0.22840215,0.3660935,0.25629056,0.20820639,0.24373233,0.28266737,0.19948792,0.24010484,0.22982122,0.2432106,0.19313851,0.25055146,0.20807159,0.30752572,0.17023902,0.27520156
DSC2,0.6370838,1.2119405,1.283143,0.7472103,0.7622293,0.73985606,1.1532722,1.2662907,0.5822427,0.61520237,0.72563434,1.4047343,1.0008016,0.9251233,0.7522867,1.1804545,0.9466718,1.1490266,0.7107678,0.8184217,0.6655607,0.74276274,0.8313286,1.262335,0.76814055,1.1375582,0.7043125,0.75922054,0.9624039,0.65125483,1.2962672,0.98104066,0.6780044,1.380118,1.0257415,1.0532728,0.7690109,1.3545226,0.53640115,1.1853758,0.6324492,0.6647664,0.8410122,0.71322614,0.75971764,0.61246437,1.1336786,1.4247329,1.344944,0.72823685,0.99462175,1.3073637,0.6642946,0.8870153,0.840722,0.81883425,0.97666776,0.7198982,0.5958055,0.9656102,0.5816112,1.4730368,0.6975258,0.6597045,0.72077286,1.4169548,0.5960279,1.2299742,1.3379614,0.8032826,0.7993365,0.5859926,1.2220756,1.1184713,0.68909067,1.3774452,0.6650682,0.931787,0.9342802,0.66671675,0.9350551,1.0895841,0.7251792,1.3763452,0.77953947,1.3821828,0.941902,0.88558614,0.8195005,0.7616706,0.6761988,1.1257007,1.0014086,0.64020777,0.83528936,1.1531315,0.75457305,0.7032569,0.54924935,0.73270303
DSP,1.8059127,3.2493932,3.3551915,2.1536667,2.309431,2.029345,3.127399,3.4780002,1.6271149,1.6819423,1.9090354,3.8258529,2.75955,2.524589,1.9937645,3.078696,2.635432,2.9468124,2.0405989,1.9995339,1.8314993,2.017443,2.1848135,3.2452269,2.2937505,3.0827107,1.9861474,2.1324205,2.507515,1.7476094,3.2427597,2.681176,1.8510218,3.8086884,2.6947646,3.0026293,2.0392563,3.5549593,1.5099883,3.21306,1.757874,1.8381944,2.267197,2.0767426,2.0338914,1.768293,3.1301234,3.6209886,3.3477511,2.0364983,2.695688,3.4333956,1.7047395,2.3382235,2.198469,2.1039214,2.5077314,1.909381,1.5852922,2.7522843,1.6245927,3.8652904,1.8636624,1.683411,1.8972365,3.892021,1.5357144,3.1188233,3.4638987,2.1137557,2.090784,1.6249226,3.390418,2.813202,1.9209262,3.769555,1.5859511,2.5444517,2.4763117,1.7382842,2.4632568,2.6567495,1.95678,3.5692568,1.9738706,3.6396194,2.6710842,2.286647,2.2141867,2.0534942,1.8323932,3.1214967,2.632394,1.9210063,2.3534741,2.8036528,1.940403,1.9119546,1.6327871,1.879547
DST,2.1707277,3.78038,3.9161992,2.460071,2.636667,2.2906663,3.6572754,4.0765185,1.8779796,1.8697343,2.1485324,4.353281,3.2200434,2.9681587,2.2756314,3.530447,3.062736,3.5622983,2.4000928,2.3593707,2.160676,2.2955692,2.5921164,3.8961444,2.645391,3.6810074,2.3626788,2.4628983,2.9634423,1.9683009,3.7809095,3.135801,2.1261683,4.2880473,3.0756493,3.5274947,2.3530226,4.064163,1.7209316,3.6690786,2.0426695,2.0366569,2.6941323,2.3489406,2.3948925,2.0073225,3.5450807,4.2429543,4.0091815,2.376257,3.0833747,4.159324,1.9427838,2.6404173,2.526872,2.520557,2.878863,2.0974295,1.7391675,3.1510983,1.8864448,4.5761027,2.1689887,2.0257318,2.2355974,4.6194725,1.7851162,3.626336,4.157507,2.4275665,2.5091608,1.8593543,3.8399045,3.2511601,2.271086,4.268086,1.8886579,2.9967706,3.005792,2.0963774,2.8423793,3.1913955,2.2120736,4.158282,2.2518926,4.3540444,3.0035906,2.5488007,2.5280914,2.391055,2.0544047,3.5690224,3.1323836,2.2022088,2.5112398,3.2250795,2.2303746,2.2185948,1.8520049,2.1448395
DUSP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSP5,0.57632405,1.1044736,1.1096627,0.73261523,0.73455536,0.6326586,0.92761856,1.1640608,0.47713605,0.56257766,0.5897884,1.2271597,0.9133262,0.9113553,0.6703644,1.056203,0.896796,0.9738679,0.62760043,0.67099154,0.62964046,0.66204107,0.7027964,1.0722952,0.80450314,1.0216517,0.62756115,0.68079025,0.8745871,0.5458517,1.0732137,0.8522278,0.6167448,1.1588272,0.9154834,0.9208738,0.64179707,1.0642143,0.46601588,1.0303754,0.5655543,0.59929633,0.71439546,0.6612756,0.67912304,0.5677881,1.0483254,1.1426088,1.1143054,0.6790375,0.85703707,1.1393327,0.5529673,0.758442,0.6181311,0.73566806,0.8575453,0.64829135,0.5328087,0.86068296,0.54638755,1.2483392,0.5959163,0.5903161,0.5833667,1.2553934,0.5071565,1.067253,1.2107147,0.68089354,0.71093637,0.45032752,1.1300875,0.94347644,0.63426495,1.164775,0.50749576,0.8497873,0.8038285,0.5875959,0.8109283,0.94079566,0.62751704,1.0818412,0.66951865,1.3062675,0.8149338,0.74001616,0.69274634,0.66204214,0.5434623,0.9985697,0.8293834,0.64968854,0.7062306,0.878483,0.65188557,0.67859656,0.5155201,0.6328861
EDNRB,0.18390566,0.32164976,0.2750051,0.2346999,0.215545,0.27462804,0.26262888,0.25749442,0.23733073,0.25953576,0.24017864,0.33363637,0.33250624,0.2922503,0.19723043,0.26032105,0.27934176,0.26447144,0.25645,0.25377306,0.20396353,0.2524274,0.23201388,0.3393277,0.28559533,0.31330872,0.21298029,0.30550584,0.2132664,0.21717668,0.3008158,0.3589362,0.26633713,0.305464,0.25978854,0.30021304,0.2856293,0.38652,0.16222292,0.31387377,0.27853197,0.30903566,0.25734317,0.19032164,0.21980645,0.28274497,0.20348155,0.35398424,0.3906293,0.23173827,0.3265267,0.3451199,0.25121698,0.22448164,0.23053789,0.29244652,0.2909711,0.1810777,0.20430231,0.3235448,0.23065095,0.31992546,0.22573386,0.23699482,0.2866528,0.39077848,0.16246,0.33195448,0.4449018,0.24160719,0.21974087,0.22471115,0.28228098,0.31784126,0.2979746,0.3216954,0.19715719,0.2723176,0.30165318,0.22124816,0.2731995,0.24244691,0.24875,0.26152843,0.26554742,0.3610521,0.22555126,0.2083827,0.25606757,0.26281998,0.2541874,0.37347096,0.24422581,0.2373898,0.24031827,0.31411585,0.26210752,0.25182915,0.17704798,0.2414338
EGFL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,0.3621366,0.5741747,0.54586935,0.42982113,0.38684258,0.37630874,0.48980746,0.5024821,0.32504377,0.305791,0.4321785,0.63259757,0.4762949,0.38323718,0.31498563,0.4807657,0.4201817,0.48342362,0.35412294,0.40486264,0.36530015,0.3983281,0.38842472,0.5562704,0.38755706,0.49635565,0.29972956,0.39666602,0.3815763,0.36324716,0.46526948,0.49559465,0.40448382,0.64358747,0.48511106,0.5704589,0.4304514,0.5222157,0.29922906,0.5253688,0.36114216,0.35616913,0.44119295,0.36229235,0.2951251,0.33059534,0.57933915,0.5576123,0.5537468,0.38863176,0.43126544,0.5531882,0.36975887,0.44280386,0.34302095,0.38984933,0.4892791,0.35950255,0.2854897,0.4407282,0.32576436,0.62616503,0.35723153,0.3029489,0.3655758,0.5562736,0.3293499,0.52746326,0.52572376,0.41597867,0.4167661,0.3667381,0.5597776,0.3760418,0.39393708,0.6238746,0.2957085,0.43365973,0.4757439,0.323172,0.39708912,0.46832046,0.4168096,0.5932596,0.37928972,0.5910484,0.51146066,0.43665424,0.30622494,0.34122062,0.36665136,0.47411305,0.44879594,0.3608405,0.45502576,0.5284541,0.40658596,0.39683405,0.30648154,0.30439416
EIF4EBP1,0.6579345,1.2129145,1.2425492,0.73243994,0.8051109,0.73256254,1.061925,1.1658125,0.61996895,0.5912984,0.6627978,1.3114504,1.030517,0.88133484,0.7274174,1.0356692,0.9774993,1.0865932,0.8085039,0.6740375,0.67767346,0.79801136,0.84317833,1.2031716,0.831157,1.1311309,0.7005193,0.7443561,0.9068127,0.6114306,1.1701828,0.9366732,0.6920649,1.3424441,0.92347366,1.0903628,0.7341328,1.2821052,0.5625263,1.2038035,0.6675014,0.681979,0.86447114,0.72761,0.7015733,0.6426855,1.0457858,1.3711101,1.2056473,0.6659438,0.9968877,1.3715273,0.57848585,0.7960522,0.7967676,0.7839321,0.9303492,0.6546114,0.57675487,0.9583568,0.66043425,1.3873186,0.63378763,0.5690344,0.6938285,1.4288833,0.5254129,1.1183408,1.1866506,0.70587367,0.76649284,0.62276286,1.2323433,0.99782044,0.735975,1.2683663,0.60763454,0.884603,0.95206773,0.6459088,0.8029227,0.92697614,0.64465153,1.2991904,0.7364608,1.3396484,0.988237,0.8176102,0.7721815,0.71186066,0.6308274,1.1141202,1.0417168,0.6741561,0.7849297,0.98596805,0.6721265,0.6949961,0.6101905,0.6638092
ELF3,1.4251221,2.5899978,2.6827664,1.5988708,1.7911477,1.5697013,2.480832,2.748307,1.2380432,1.227746,1.4531021,3.038044,2.1409123,2.0232046,1.4711356,2.4433513,2.0947104,2.3927119,1.6607763,1.6013533,1.4356458,1.5426137,1.7040006,2.5470357,1.8475945,2.5062761,1.5678747,1.5819414,2.0490797,1.3446153,2.6116233,2.2134757,1.380078,3.0279315,2.0586193,2.3996723,1.559037,2.739196,1.1581975,2.589513,1.2884823,1.3523207,1.80179,1.524356,1.6361684,1.2977878,2.3976076,2.852954,2.5647247,1.5376251,2.084121,2.7827363,1.2713823,1.6945794,1.6623882,1.6849276,1.9247462,1.4732399,1.15437,2.1762896,1.2324146,3.0961576,1.4201008,1.2585778,1.4868287,3.0880582,1.1781555,2.3584793,2.7357419,1.5473163,1.6046561,1.1889559,2.652423,2.2580903,1.5171003,2.9996665,1.2151885,1.9836872,1.8506268,1.3641596,1.9250612,2.107901,1.4041458,2.9497602,1.5372763,2.8620281,2.045266,1.7201382,1.7129763,1.5229566,1.3601911,2.5281806,2.0889258,1.4136599,1.7745562,2.146504,1.4401578,1.4682022,1.1856413,1.4920522
ENAH,2.3107438,4.114064,4.27598,2.6046288,2.7941394,2.5583804,3.8883622,4.32404,2.0686483,2.0464017,2.3624623,4.5999403,3.4673727,3.255211,2.470989,3.9413707,3.2770193,3.806036,2.6171055,2.5066695,2.3533342,2.515734,2.7715714,4.1679845,2.8841696,3.9521012,2.5042288,2.6422772,3.194497,2.1258354,4.113928,3.3750713,2.3175883,4.7085366,3.3770165,3.833032,2.572736,4.5037594,1.957638,4.041245,2.2165182,2.2058222,2.8696742,2.5502803,2.5774517,2.1388295,3.8316345,4.4976215,4.3185163,2.5347164,3.3966734,4.4101934,2.075671,2.7956493,2.7006361,2.7174776,3.2169974,2.3040884,1.924163,3.4117222,2.0909255,4.9289885,2.3573408,2.0898836,2.382266,4.896037,1.9297663,3.9288633,4.3541594,2.6298034,2.703072,1.9860356,4.226004,3.5393605,2.4542835,4.7249837,2.0454226,3.1701655,3.1783414,2.2270372,3.0287237,3.3589299,2.416753,4.462307,2.4647865,4.5891185,3.2671783,2.7832103,2.7800086,2.4965243,2.2151945,3.928465,3.2963734,2.3945274,2.8318093,3.4497325,2.3837981,2.4040413,1.9849254,2.3698719
EPCAM,2.9856815,5.596834,5.7956123,3.4893727,3.770066,3.3318245,5.318853,5.8875823,2.702838,2.6253066,3.0686083,6.3415813,4.5652714,4.2678394,3.2904737,5.2639027,4.5088806,5.049579,3.470342,3.2422132,3.0834026,3.2962615,3.7058823,5.624471,3.8412492,5.325605,3.3168037,3.4529624,4.2675114,2.884187,5.4917874,4.5523105,3.0074403,6.4023123,4.423192,5.017585,3.3386197,6.010927,2.571344,5.586531,2.9352345,2.945087,3.8521748,3.3326516,3.3229167,2.8110754,5.203292,6.269856,5.795741,3.2889721,4.4104996,5.94623,2.7147853,3.6428857,3.5908182,3.5412917,4.1892095,3.0824676,2.6095312,4.561123,2.6611927,6.8260875,3.08881,2.8151097,3.1993847,6.832708,2.5820968,5.1800594,5.9480133,3.5026321,3.585096,2.6404634,5.6260986,4.8205338,3.2009127,6.3203883,2.6095142,4.2683244,4.17234,2.9438891,4.012729,4.4482284,3.113107,6.1374564,3.2255561,6.2926526,4.3243685,3.631089,3.7395012,3.2998729,2.916973,5.2326655,4.386275,3.1337762,3.7609043,4.6721506,3.1322498,3.2157547,2.574668,3.158881
ERBB2,3.707534,6.5579195,6.7739058,4.2079043,4.5258675,4.0121303,6.118877,6.963327,3.3383374,3.227435,3.7689667,7.388317,5.493027,5.117887,4.034676,6.2875504,5.2553425,6.149956,4.1031146,4.0949073,3.7177012,4.131605,4.400665,6.649681,4.6967907,6.4125085,4.034522,4.2245917,5.15122,3.44848,6.4256015,5.492576,3.7424088,7.4778805,5.2674785,5.929833,4.157039,7.0761333,3.0023446,6.392544,3.554866,3.601287,4.704835,4.003568,3.9846752,3.4121714,6.119239,7.2831464,6.6357703,4.029982,5.284287,6.961433,3.3476052,4.5045967,4.3567653,4.3412337,4.9862256,3.7564418,3.0647078,5.378053,3.372208,7.681989,3.7272837,3.3486278,3.9721503,7.859325,3.2125127,6.144768,6.9134192,4.2022715,4.338062,3.262225,6.648555,5.708778,3.996177,7.5811896,3.2685306,5.1123395,5.029532,3.6315413,4.857317,5.4269495,3.758849,7.135667,3.983395,7.472297,5.215347,4.4072514,4.461322,4.1371813,3.618958,6.288478,5.3293576,3.7890093,4.4905896,5.490311,3.8805876,3.8662248,3.1679842,3.7882745
ERN1,0.6754202,1.0753363,1.1499895,0.78978103,0.7872312,0.65903395,1.0362829,1.1522804,0.59241587,0.62882894,0.6492891,1.1930524,0.87500817,0.87919074,0.70092875,1.0236669,0.9665396,1.0346843,0.70398605,0.7258082,0.65663034,0.74969137,0.67177093,1.1270404,0.8236262,1.0524732,0.7014885,0.739475,0.88528264,0.6103375,1.1115699,0.87982833,0.6487124,1.1851193,0.9549086,0.91437566,0.7853949,1.1436285,0.515617,1.0826368,0.610011,0.6366753,0.8263128,0.7033228,0.6682251,0.60863966,1.041455,1.2100997,1.1448332,0.7166885,0.9887577,1.1683077,0.57526,0.80195606,0.80451566,0.7213365,0.7594113,0.63808864,0.5208908,0.8836075,0.6131895,1.2688123,0.6847233,0.5951353,0.71158075,1.3741945,0.6018884,0.9459186,1.226195,0.7172016,0.7911086,0.5442374,1.1572319,0.9034673,0.7528361,1.3127977,0.60983557,0.8400967,0.94208694,0.6753483,0.8674692,0.9094545,0.65074605,1.1838439,0.66384494,1.2084388,0.8780037,0.6877318,0.7211448,0.7484068,0.64310455,1.0002657,0.9398222,0.6470528,0.79875326,1.0118389,0.7135752,0.69372165,0.5605723,0.6874302
ESM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESR1,0.28493586,0.30004525,0.28595436,0.25140697,0.2837797,0.19123007,0.27922913,0.34735936,0.20798573,0.14005367,0.26135638,0.38177904,0.25201198,0.24902004,0.2514886,0.31498006,0.27725613,0.26787543,0.22135402,0.2587707,0.15331997,0.24235198,0.24232315,0.34589016,0.30177215,0.26527599,0.26159507,0.23170872,0.26184514,0.17949748,0.25657108,0.22409616,0.2211144,0.3979338,0.295237,0.26895002,0.26859862,0.25407878,0.17750375,0.38323396,0.20904118,0.16744266,0.19899973,0.22425659,0.2740372,0.17107667,0.3907422,0.28696862,0.37723583,0.20181745,0.32884195,0.35698813,0.22444469,0.30865213,0.18694206,0.18778987,0.24318834,0.25011778,0.13031219,0.25254092,0.20984761,0.3866796,0.19688939,0.16867627,0.21087915,0.28617692,0.15948823,0.31214553,0.34524903,0.22919801,0.22834505,0.19936387,0.28351223,0.25593492,0.20919748,0.34308878,0.14879586,0.32305756,0.28529564,0.2059695,0.28950053,0.2906391,0.1844605,0.35432893,0.2140689,0.3416623,0.264617,0.25680232,0.17369927,0.209357,0.17441778,0.26865426,0.2737697,0.1809821,0.2737479,0.33479244,0.16319065,0.27866265,0.16190302,0.24385594
FAM107B,1.1026545,1.9075505,2.0173006,1.2912781,1.3129281,1.2149408,1.7750587,1.9404224,1.0247108,0.98880595,1.1876854,2.1763992,1.5896487,1.5034896,1.171342,1.7847191,1.5412096,1.740895,1.1913593,1.2611533,1.0871252,1.2266151,1.2787123,1.9784445,1.3655056,1.8872688,1.1849266,1.2539791,1.4903381,1.0488347,1.8199526,1.6330943,1.1155927,2.14676,1.5279253,1.6759437,1.2119343,2.0502415,0.88780016,1.8061104,1.0694665,1.1222254,1.2946025,1.2493261,1.1854818,1.0486763,1.727348,2.127869,1.9516547,1.2248474,1.6316744,2.0371354,1.036355,1.3373413,1.3017898,1.3095647,1.5281454,1.0915973,0.94656265,1.5721395,1.0459226,2.158776,1.096108,0.99913335,1.1764971,2.3283439,0.97985303,1.7460816,1.9650445,1.2635466,1.2876698,0.98287106,1.9319806,1.690543,1.1748428,2.2842367,0.97112966,1.4793384,1.5052831,1.1012615,1.4053866,1.523041,1.1593496,2.017744,1.2247711,2.191973,1.4804119,1.2901164,1.3361161,1.2669239,1.0790725,1.8899535,1.5469612,1.1204052,1.3285886,1.5933534,1.149576,1.1679779,0.9845917,1.1471734
FAM49A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
